"bulan","tahun","jumlah_armada_tj","jumlah_penumpang_lrt","jumlah_perjalanan_lrt","jumlah_penumpang_mrt","jumlah_perjalanan_mrt","date"
1,2023,3853,72424,6190,2540315,8035,2023-01-01
2,2023,3864,76166,5980,2378568,7340,2023-02-01
3,2023,3890,82754,6200,2699585,8035,2023-03-01
4,2023,3853,72318,5998,2065546,7270,2023-04-01
5,2023,3944,78639,6198,2681876,8161,2023-05-01
6,2023,3980,84008,6098,2709731,7688,2023-06-01
7,2023,4114,86574,6322,2959449,8109,2023-07-01
8,2023,4090,87476,6322,2999724,8253,2023-08-01
9,2023,4136,92718,6120,3003191,7909,2023-09-01
10,2023,4261,92809,6314,3139371,8229,2023-10-01
11,2023,4369,91616,6120,3144382,8229,2023-11-01
12,2023,4356,98413,6350,3036358,8124,2023-12-01
1,2024,4395,93631,6324,3133700,8241,2024-01-01
2,2024,4456,89934,5916,2595293,7539,2024-02-01
3,2024,4451,92004,6321,2876356,7977,2024-03-01
4,2024,4457,84571,6120,2607904,7626,2024-04-01
5,2024,4409,96550,6324,3175772,7882,2024-05-01
